   input,  output, for,if,while,Exp,   fc,FNP
0,0.00103192,0.00158248,0.00113024,0,0.00237514,0.00107964,1
0,0,0.00158733,0.00112997,0,0.002355,0.00107682,1
0,0.00082595,0.00585752,0.00099033,0.00176617,0.00212471,0.00107111,0
0,0,0.00162209,0.00162209,0,0.00221484,0.00105861,1
0,0,0.00162209,0.00112835,0,0.00221484,0.00105861,1
0,0,0.00162209,0.00112835,0,0.00221484,0.00105861,1
0,0,0.00162209,0.00112835,0,0.00221484,0.00105861,1
0,0,0.00162209,0.00112835,0,0.00221484,0.00105861,1
0,0.3459912,0.0019621,0.001197489,0,0.00234389,0.00105724,0
0,0,0.001896489,0.001466333,0.00176617,0.002453333,0.001053884,0
0,0.00037797,0.00163176,0.00112459,0,0.00217005,0.00105383,1
0,0,0.00163176,0.00112459,0,0.00217005,0.00105383,1
0,0.00114867,0.00126788,0.00097495,0,0.00206973,0.00103385,0
0,0,0.00126798,0.0009749,0,0.00206975,0.00103385,0
0,0,0.0012978,0.00097795,0.00177617,0.00203989,0.00100432,0
0,0,0.00192728,0.00127813,0,0.00231673,0.00097563,1
0,0,0.00192728,0.00127813,0,0.00231673,0.00097563,1
0,8.12E-05,2.07E-03,1.15E-03,0.00E+00,2.30E-03,8.42E-04,0
